time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1980-04-30,79.02,19.31566666666667,5.463666666666667,1980,4
1980-05-31,79.62,24.938064516129035,11.524516129032257,1980,5
1980-06-30,13.62,30.919333333333334,17.189,1980,6
1980-07-31,47.129999999999995,38.24193548387097,21.696129032258067,1980,7
1980-08-31,122.64,34.81354838709677,20.399032258064516,1980,8
1980-09-30,47.96,29.353333333333335,14.677,1980,9
1980-10-31,142.44,20.6658064516129,4.895483870967742,1980,10
1981-04-30,102.73,24.217333333333332,9.958333333333334,1981,4
1981-05-31,263.53,21.720322580645163,9.591935483870968,1981,5
1981-06-30,281.72,29.040666666666667,17.678,1981,6
1981-07-31,205.68,31.192580645161293,20.427419354838708,1981,7
1981-08-31,76.87,29.751935483870966,17.74741935483871,1981,8
1981-09-30,21.84,27.473666666666666,13.061333333333332,1981,9
1981-10-31,180.27,19.421290322580642,6.803225806451613,1981,10
1982-04-30,52.06,17.587333333333333,3.9219999999999997,1982,4
1982-05-31,161.25,25.931935483870966,13.300645161290323,1982,5
1982-06-30,107.94,25.95266666666667,14.487666666666666,1982,6
1982-07-31,88.28,31.844516129032257,19.796774193548387,1982,7
1982-08-31,192.89,29.050967741935484,17.59,1982,8
1982-09-30,89.50999999999999,25.33133333333333,13.219666666666667,1982,9
1982-10-31,38.75,21.07032258064516,6.379677419354838,1982,10
1983-04-30,200.02,14.368666666666666,3.4679999999999995,1983,4
1983-05-31,125.7,22.539354838709677,9.45032258064516,1983,5
1983-06-30,69.2,28.528333333333332,15.923333333333334,1983,6
1983-07-31,33.99,33.670967741935485,19.740645161290324,1983,7
1983-08-31,22.05,35.877096774193554,20.421935483870968,1983,8
1983-09-30,69.7,28.445,13.479666666666667,1983,9
1983-10-31,103.16,20.67774193548387,8.412580645161292,1983,10
1984-04-30,139.51999999999998,17.292333333333332,6.101,1984,4
1984-05-31,64.48,23.379032258064516,9.75,1984,5
1984-06-30,47.95,29.804666666666666,17.993333333333332,1984,6
1984-07-31,81.42,31.32,17.517096774193547,1984,7
1984-08-31,0.0,33.48774193548387,17.940967741935484,1984,8
1984-09-30,134.45,25.803,12.544333333333332,1984,9
1984-10-31,196.12,20.35,8.801935483870968,1984,10
1985-04-30,102.39,22.05633333333333,8.467333333333332,1985,4
1985-05-31,108.1,25.06064516129032,12.179677419354839,1985,5
1985-06-30,215.63,26.779333333333334,15.073333333333332,1985,6
1985-07-31,32.26,32.26193548387097,18.476774193548387,1985,7
1985-08-31,146.63,28.833870967741937,17.179032258064513,1985,8
1985-09-30,37.44,26.507333333333335,14.086,1985,9
1985-10-31,109.27,21.06451612903226,8.386774193548387,1985,10
1986-04-30,74.74,22.45266666666667,7.65,1986,4
1986-05-31,125.75999999999999,25.061935483870965,12.789032258064516,1986,5
1986-06-30,68.39,30.932666666666666,18.194333333333336,1986,6
1986-07-31,46.7,33.81612903225806,20.600322580645162,1986,7
1986-08-31,85.61,29.766451612903225,15.557419354838709,1986,8
1986-09-30,340.3,27.879,15.455666666666668,1986,9
1986-10-31,218.38000000000002,19.55806451612903,8.11483870967742,1986,10
1987-04-30,44.13,21.33566666666667,5.383333333333334,1987,4
1987-05-31,50.27,28.068387096774195,13.696774193548388,1987,5
1987-06-30,48.53,30.937666666666665,17.226666666666667,1987,6
1987-07-31,78.71,32.763548387096776,19.330967741935485,1987,7
1987-08-31,115.59,32.23032258064516,17.984193548387097,1987,8
1987-09-30,71.28,27.143666666666665,12.108666666666666,1987,9
1987-10-31,49.0,18.94677419354839,3.2564516129032257,1987,10
