time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1992-10-31,22.490000000000002,17.447741935483872,3.6635483870967738,1992,10
1993-04-30,72.53999999999999,13.022333333333334,1.7123333333333333,1993,4
1993-05-31,171.81,20.926129032258064,10.029354838709677,1993,5
1993-06-30,226.95,25.183666666666667,14.247000000000002,1993,6
1993-07-31,374.13,27.01967741935484,17.93903225806452,1993,7
1993-08-31,275.7,27.266451612903225,17.36,1993,8
1993-09-30,108.88000000000001,20.104666666666667,8.722000000000001,1993,9
1993-10-31,42.190000000000005,15.653870967741934,3.85,1993,10
1994-04-30,64.77,16.942333333333334,2.6453333333333333,1994,4
1994-05-31,42.47,23.561290322580643,8.930322580645162,1994,5
1994-06-30,169.22,27.669,15.876666666666667,1994,6
1994-07-31,76.21,27.798709677419353,15.744193548387097,1994,7
1994-08-31,99.33,26.760645161290324,14.23741935483871,1994,8
1994-09-30,131.3,24.901666666666664,11.643,1994,9
1994-10-31,38.87,18.03483870967742,6.249677419354839,1994,10
1995-04-30,131.4,13.408999999999999,1.24,1995,4
1995-05-31,109.18,19.873870967741937,8.14774193548387,1995,5
1995-06-30,74.48,26.574666666666666,15.614333333333333,1995,6
1995-07-31,125.79,29.726451612903226,17.197741935483872,1995,7
1995-08-31,83.59,30.457741935483874,19.186451612903223,1995,8
1995-09-30,63.77,22.892333333333333,9.030333333333333,1995,9
1995-10-31,37.65,16.718709677419355,4.330645161290323,1995,10
1996-04-30,29.35,15.509666666666668,0.511,1996,4
1996-05-31,171.88,18.680967741935483,8.76741935483871,1996,5
1996-06-30,126.48,26.607000000000003,15.626333333333331,1996,6
1996-07-31,100.85,27.630967741935486,15.661290322580646,1996,7
1996-08-31,96.95,27.087419354838712,15.681290322580645,1996,8
1996-09-30,100.82999999999998,22.313666666666666,9.888333333333332,1996,9
1996-10-31,62.0,17.45935483870968,4.386451612903225,1996,10
1997-04-30,114.45,13.22,0.7676666666666667,1997,4
1997-05-31,66.67999999999999,19.500967741935483,5.737096774193549,1997,5
1997-06-30,116.06,28.429,15.147,1997,6
1997-07-31,60.34,28.985806451612905,17.363548387096774,1997,7
1997-08-31,34.690000000000005,26.92032258064516,15.166774193548388,1997,8
1997-09-30,70.52,24.747,11.170666666666667,1997,9
1997-10-31,99.7,17.53258064516129,4.597096774193548,1997,10
1998-04-30,73.78,15.456,4.250666666666667,1998,4
1998-05-31,105.34,24.904516129032256,12.360322580645162,1998,5
1998-06-30,303.41,24.82133333333333,14.139666666666667,1998,6
1998-07-31,88.8,28.982580645161292,18.008387096774193,1998,7
1998-08-31,132.73,28.186451612903223,17.969354838709677,1998,8
1998-09-30,15.54,27.493333333333332,13.084666666666667,1998,9
1998-10-31,108.23,17.258064516129032,5.764838709677419,1998,10
1999-04-30,151.01,15.292666666666666,4.265333333333333,1999,4
1999-05-31,152.19,21.35967741935484,10.45,1999,5
1999-06-30,139.75,25.997,15.541333333333334,1999,6
1999-07-31,140.1,31.00741935483871,19.57032258064516,1999,7
1999-08-31,106.28,26.94451612903226,15.267096774193547,1999,8
1999-09-30,47.42,23.644,8.556333333333333,1999,9
1999-10-31,9.26,18.603548387096776,2.167741935483871,1999,10
2000-04-30,22.74,17.375666666666667,2.3826666666666663,2000,4
2000-05-31,96.85,24.325806451612905,10.494193548387097,2000,5
2000-06-30,152.27,26.086666666666666,14.035,2000,6
2000-07-31,100.53999999999999,27.73193548387097,17.051612903225806,2000,7
2000-08-31,74.35,28.56032258064516,17.030967741935484,2000,8
2000-09-30,37.43,26.084333333333333,10.849666666666668,2000,9
2000-10-31,50.82,19.300322580645158,6.555806451612903,2000,10
2001-04-30,92.42,19.094333333333335,4.740333333333334,2001,4
2001-05-31,177.66,21.313225806451616,10.621935483870967,2001,5
2001-06-30,79.13,26.791333333333334,14.410666666666666,2001,6
2001-07-31,63.61,30.067419354838712,18.51806451612903,2001,7
2001-08-31,85.66,28.614193548387096,16.557419354838707,2001,8
2001-09-30,153.12,22.615000000000002,9.860333333333333,2001,9
2001-10-31,67.21000000000001,16.523225806451613,3.2912903225806454,2001,10
2002-04-30,85.78,15.766,2.7123333333333335,2002,4
2002-05-31,114.08,21.341290322580647,7.428387096774194,2002,5
2002-06-30,96.31,28.740333333333336,16.354333333333333,2002,6
2002-07-31,125.12,30.633870967741935,18.726774193548387,2002,7
2002-08-31,141.17,27.451612903225808,15.441935483870967,2002,8
2002-09-30,25.56,26.070333333333334,11.370000000000001,2002,9
2002-10-31,91.76,13.032580645161291,2.330322580645161,2002,10
2003-04-30,130.36,16.897000000000002,3.716,2003,4
2003-05-31,126.72,21.074838709677422,8.759354838709678,2003,5
2003-06-30,119.19,26.122333333333334,13.956,2003,6
2003-07-31,158.04,28.67290322580645,16.889032258064514,2003,7
2003-08-31,35.84,29.79258064516129,16.84709677419355,2003,8
2003-09-30,60.38,23.479,8.730666666666668,2003,9
2003-10-31,26.36,19.01290322580645,3.5625806451612902,2003,10
2004-04-30,60.989999999999995,18.094333333333335,2.989,2004,4
2004-05-31,260.01,22.49967741935484,10.047419354838711,2004,5
2004-06-30,99.83,25.35666666666667,13.924000000000001,2004,6
2004-07-31,110.39,26.93290322580645,15.988064516129032,2004,7
2004-08-31,127.76,24.97225806451613,13.270645161290322,2004,8
2004-09-30,54.48,26.323333333333334,11.739666666666666,2004,9
2004-10-31,51.03,16.723225806451612,4.992580645161291,2004,10
2005-04-30,119.34,18.788333333333334,5.451333333333333,2005,4
2005-05-31,121.96000000000001,21.169354838709676,8.06225806451613,2005,5
2005-06-30,155.99,28.777,16.750666666666667,2005,6
2005-07-31,116.95,29.820967741935487,17.49774193548387,2005,7
2005-08-31,156.09,28.031935483870967,15.67741935483871,2005,8
2005-09-30,80.57,26.60666666666667,12.402666666666667,2005,9
2005-10-31,17.22,18.044193548387096,4.7138709677419355,2005,10
2006-04-30,105.28,19.242666666666665,5.295333333333334,2006,4
2006-05-31,44.56,22.330000000000002,10.06516129032258,2006,5
2006-06-30,34.96,28.151,14.773,2006,6
2006-07-31,113.93,30.686129032258062,18.223225806451612,2006,7
2006-08-31,187.85,27.54064516129032,17.166451612903224,2006,8
2006-09-30,180.06,21.807333333333336,9.543666666666667,2006,9
2006-10-31,54.71,14.420322580645161,3.123225806451613,2006,10
2007-04-30,157.67000000000002,14.643333333333334,1.9923333333333335,2007,4
2007-05-31,170.81,24.285806451612903,12.345483870967742,2007,5
2007-06-30,76.4,27.674666666666667,15.524333333333335,2007,6
2007-07-31,84.53,29.74967741935484,17.312258064516126,2007,7
2007-08-31,178.65,29.22290322580645,18.445483870967742,2007,8
2007-09-30,80.25,25.412666666666667,11.052666666666665,2007,9
2007-10-31,154.8,18.76322580645161,7.623225806451613,2007,10
2008-04-30,109.56,13.658999999999999,2.2396666666666665,2008,4
2008-05-31,213.02,21.010967741935485,7.8187096774193545,2008,5
2008-06-30,314.15,26.737666666666666,15.157666666666668,2008,6
2008-07-31,174.06,28.748387096774195,17.284193548387094,2008,7
2008-08-31,43.55,27.40967741935484,14.770967741935483,2008,8
2008-09-30,96.68,23.467333333333332,11.511666666666667,2008,9
2008-10-31,89.89,17.13064516129032,4.2374193548387105,2008,10
2009-04-30,149.48,14.860999999999999,1.9709999999999999,2009,4
2009-05-31,142.19,21.853225806451615,9.294516129032258,2009,5
2009-06-30,156.73,26.332,15.081999999999999,2009,6
2009-07-31,72.67,26.127741935483872,14.346129032258066,2009,7
2009-08-31,121.63,26.00258064516129,14.82258064516129,2009,8
2009-09-30,60.290000000000006,24.449666666666666,10.74,2009,9
2009-10-31,190.81,11.840645161290322,2.3748387096774195,2009,10
2010-04-30,117.54,19.762333333333334,5.9206666666666665,2010,4
2010-05-31,91.83,22.080967741935485,9.480967741935485,2010,5
2010-06-30,290.6,27.372,16.142333333333333,2010,6
2010-07-31,189.92000000000002,28.991612903225807,18.485806451612902,2010,7
2010-08-31,352.22,29.506774193548388,18.080322580645163,2010,8
2010-09-30,125.35,23.694333333333336,11.066666666666666,2010,9
2010-10-31,11.58,20.247096774193547,4.095161290322581,2010,10
2011-04-30,105.67999999999999,14.931666666666667,2.442333333333333,2011,4
2011-05-31,149.36,21.699354838709677,8.966129032258063,2011,5
2011-06-30,164.95,26.464333333333336,15.729000000000001,2011,6
2011-07-31,48.95,31.028709677419354,20.23709677419355,2011,7
2011-08-31,73.78,28.21741935483871,16.25,2011,8
2011-09-30,51.28,22.142999999999997,9.076666666666666,2011,9
2011-10-31,18.48,19.67774193548387,4.024193548387097,2011,10
2012-04-30,110.42,18.191,4.6899999999999995,2012,4
2012-05-31,75.86,25.568064516129034,11.54258064516129,2012,5
2012-06-30,70.02000000000001,28.866,15.527999999999999,2012,6
2012-07-31,61.04,33.21967741935484,19.413548387096775,2012,7
2012-08-31,75.69,28.955806451612904,14.160322580645163,2012,8
2012-09-30,55.72,25.147333333333332,8.342666666666666,2012,9
2012-10-31,61.29,15.790645161290323,2.9383870967741936,2012,10
2013-04-30,154.52,13.041,0.6826666666666666,2013,4
2013-05-31,344.95,20.432258064516127,9.315806451612904,2013,5
2013-06-30,101.74000000000001,25.988,15.433,2013,6
2013-07-31,25.34,28.913870967741936,16.22225806451613,2013,7
2013-08-31,15.379999999999999,29.447741935483872,15.867096774193548,2013,8
2013-09-30,47.01,26.719333333333335,12.489,2013,9
2013-10-31,87.56,16.476774193548387,4.146129032258065,2013,10
2014-04-30,185.71,15.05,1.666,2014,4
2014-05-31,89.98,22.516451612903225,9.37774193548387,2014,5
2014-06-30,261.43,26.530666666666665,15.525333333333332,2014,6
2014-07-31,94.21000000000001,26.103225806451615,14.730322580645161,2014,7
2014-08-31,212.86,26.936129032258062,16.969677419354838,2014,8
2014-09-30,105.09,22.561333333333334,10.462333333333333,2014,9
2014-10-31,80.15,16.705806451612904,4.373225806451613,2014,10
2015-04-30,94.4,17.354666666666667,3.7743333333333333,2015,4
2015-05-31,116.9,21.09741935483871,10.318064516129033,2015,5
2015-06-30,195.70000000000002,26.20266666666667,15.404333333333334,2015,6
2015-07-31,216.72,27.61741935483871,16.807096774193546,2015,7
2015-08-31,270.52,25.912258064516127,14.96032258064516,2015,8
2015-09-30,101.67,26.392999999999997,13.999333333333334,2015,9
2015-10-31,38.37,17.761290322580646,5.354516129032258,2015,10
2016-04-30,89.73,16.432666666666666,4.051333333333334,2016,4
2016-05-31,98.01,21.940645161290323,9.016451612903225,2016,5
2016-06-30,58.510000000000005,29.728333333333335,16.397666666666666,2016,6
2016-07-31,152.64,28.233225806451614,17.458709677419357,2016,7
2016-08-31,250.97,27.90741935483871,17.206451612903226,2016,8
2016-09-30,254.98999999999998,25.687333333333335,13.858666666666666,2016,9
2016-10-31,21.11,19.588064516129034,6.887096774193548,2016,10
2017-04-30,123.82,16.456,5.0183333333333335,2017,4
2017-05-31,125.42999999999999,21.794838709677418,8.76774193548387,2017,5
2017-06-30,55.1,28.990000000000002,15.064,2017,6
2017-07-31,94.49000000000001,30.258709677419354,17.84774193548387,2017,7
2017-08-31,77.08,26.338064516129034,13.922258064516129,2017,8
2017-09-30,73.11,26.786,12.571666666666665,2017,9
2017-10-31,159.59,17.335806451612903,6.198064516129032,2017,10
2018-04-30,44.01,11.288333333333332,-1.9653333333333334,2018,4
2018-05-31,134.56,26.25258064516129,13.506451612903225,2018,5
2018-06-30,401.87,28.643666666666665,17.440333333333335,2018,6
2018-07-31,71.16,28.89483870967742,17.090967741935483,2018,7
2018-08-31,196.7,28.07709677419355,16.469032258064516,2018,8
2018-09-30,242.13,24.169666666666668,13.345,2018,9
2018-10-31,105.89,15.053548387096775,3.398387096774194,2018,10
2019-04-30,62.54,16.78633333333333,3.203333333333333,2019,4
2019-05-31,214.69,20.13967741935484,8.361612903225806,2019,5
2019-06-30,117.69999999999999,26.798333333333336,15.07,2019,6
2019-07-31,87.44,29.43903225806452,18.2041935483871,2019,7
2019-08-31,63.13,26.820967741935487,15.058387096774194,2019,8
2019-09-30,164.82,26.236333333333334,14.613,2019,9
2019-10-31,136.33,13.673548387096774,2.4493548387096777,2019,10
2020-04-30,57.8,15.478333333333333,1.5133333333333334,2020,4
2020-05-31,130.72,19.906129032258065,9.13516129032258,2020,5
2020-06-30,57.96,28.853333333333335,17.150666666666666,2020,6
2020-07-31,60.52,30.536774193548386,18.127741935483872,2020,7
2020-08-31,47.45,29.34193548387097,15.353548387096774,2020,8
2020-09-30,89.83,23.260333333333335,10.234666666666667,2020,9
2020-10-31,45.01,14.284193548387098,1.843225806451613,2020,10
2021-04-30,16.02,17.130333333333333,3.616333333333333,2021,4
2021-05-31,79.32,20.943870967741937,9.584838709677419,2021,5
2021-06-30,71.77,30.441333333333333,16.517666666666667,2021,6
2021-07-31,102.19,29.261935483870968,17.27064516129032,2021,7
2021-08-31,97.73,29.475161290322582,16.734193548387097,2021,8
2021-09-30,52.47,27.307666666666666,12.053333333333335,2021,9
2021-10-31,133.54000000000002,18.55354838709677,7.218387096774193,2021,10
2022-04-30,121.88,13.113,0.4923333333333334,2022,4
2022-05-31,153.71,22.596451612903227,10.595161290322581,2022,5
2022-06-30,160.19,28.87,15.839333333333334,2022,6
2022-07-31,100.0,29.673870967741934,17.822903225806453,2022,7
2022-08-31,101.88000000000001,28.960645161290323,16.343225806451613,2022,8
2022-09-30,41.6,25.149333333333335,11.666333333333334,2022,9
2022-10-31,20.93,18.46709677419355,2.306451612903226,2022,10
2023-04-30,88.46000000000001,16.956666666666667,2.395,2023,4
2023-05-31,85.8,24.714193548387097,10.175483870967742,2023,5
2023-06-30,107.06,28.497,15.181333333333333,2023,6
2023-07-31,77.57,28.466451612903228,16.073548387096775,2023,7
2023-08-31,162.6,28.933870967741935,16.598387096774193,2023,8
2023-09-30,46.589999999999996,27.216,12.396666666666667,2023,9
2023-10-31,83.05,17.727741935483873,5.909354838709677,2023,10
2024-04-30,93.13,17.688333333333333,3.9339999999999997,2024,4
2024-05-31,261.71,23.601290322580645,10.12225806451613,2024,5
2024-06-30,102.97,28.722666666666665,16.446,2024,6
2024-07-31,131.12,28.05258064516129,16.971290322580646,2024,7
2024-08-31,58.26,27.826451612903227,16.11709677419355,2024,8
2024-09-30,31.08,27.343,11.922333333333334,2024,9
2024-10-31,39.61,22.35516129032258,5.635483870967741,2024,10
