time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1980-04-30,28.33,18.034,0.8156666666666667,1980,4
1980-05-31,61.31,22.938064516129035,7.212258064516129,1980,5
1980-06-30,41.7,29.743666666666666,14.028333333333334,1980,6
1980-07-31,8.46,34.93806451612903,17.328387096774193,1980,7
1980-08-31,95.1,31.775806451612905,15.702258064516128,1980,8
1980-09-30,14.46,27.706,9.276333333333334,1980,9
1980-10-31,52.93,19.07677419354839,1.238709677419355,1980,10
1981-04-30,28.7,22.383666666666667,4.978666666666667,1981,4
1981-05-31,144.64000000000001,20.500967741935483,6.125806451612903,1981,5
1981-06-30,89.51,29.91433333333333,12.973333333333333,1981,6
1981-07-31,198.93,29.759354838709676,16.52032258064516,1981,7
1981-08-31,124.29,28.008064516129032,14.999354838709678,1981,8
1981-09-30,37.97,26.537333333333333,8.620000000000001,1981,9
1981-10-31,21.86,16.774193548387096,2.3964516129032254,1981,10
1982-04-30,50.99999999999999,15.972333333333333,-0.7143333333333334,1982,4
1982-05-31,170.54,21.572580645161292,8.37225806451613,1982,5
1982-06-30,59.61,24.087,10.458666666666666,1982,6
1982-07-31,23.189999999999998,31.700322580645164,16.315806451612904,1982,7
1982-08-31,136.23,29.215806451612902,15.935161290322581,1982,8
1982-09-30,56.91,24.025666666666666,9.058333333333334,1982,9
1982-10-31,69.07,18.31677419354839,2.0903225806451613,1982,10
1983-04-30,72.24000000000001,11.728000000000002,-0.8859999999999999,1983,4
1983-05-31,93.02,20.213548387096775,5.01516129032258,1983,5
1983-06-30,188.7,25.750333333333334,12.750333333333334,1983,6
1983-07-31,63.8,31.999032258064517,16.12290322580645,1983,7
1983-08-31,53.26,33.64,17.806774193548385,1983,8
1983-09-30,19.9,27.449333333333335,9.346333333333332,1983,9
1983-10-31,37.45,17.799677419354836,3.8125806451612902,1983,10
1984-04-30,197.53,12.301666666666668,0.3183333333333333,1984,4
1984-05-31,77.53,21.457741935483874,7.001290322580645,1984,5
1984-06-30,144.23000000000002,28.184,13.216000000000001,1984,6
1984-07-31,37.32,30.623225806451615,15.380645161290323,1984,7
1984-08-31,56.89000000000001,32.44903225806451,15.186129032258064,1984,8
1984-09-30,12.549999999999999,23.72233333333333,6.808333333333334,1984,9
1984-10-31,113.66,15.888387096774194,3.0022580645161288,1984,10
1985-04-30,113.76,20.46,2.2366666666666664,1985,4
1985-05-31,96.49000000000001,24.674516129032256,8.136129032258065,1985,5
1985-06-30,62.55,26.694000000000003,10.485666666666667,1985,6
1985-07-31,136.5,30.82193548387097,15.001612903225807,1985,7
1985-08-31,57.790000000000006,27.33258064516129,13.47483870967742,1985,8
1985-09-30,89.53,21.340333333333334,9.581666666666667,1985,9
1985-10-31,36.59,17.47935483870968,1.770967741935484,1985,10
1986-04-30,76.41,17.512,1.616,1986,4
1986-05-31,118.55,22.338064516129034,7.840645161290323,1986,5
1986-06-30,69.11,29.447,14.501,1986,6
1986-07-31,75.72,31.868387096774192,16.17225806451613,1986,7
1986-08-31,71.21000000000001,27.740322580645163,13.758387096774193,1986,8
1986-09-30,136.88,23.045,10.658333333333333,1986,9
1986-10-31,68.25,17.006129032258066,3.2341935483870965,1986,10
1987-04-30,37.71,19.879666666666665,1.629,1987,4
1987-05-31,75.91,24.403548387096773,10.720645161290324,1987,5
1987-06-30,59.91,29.029999999999998,14.093,1987,6
1987-07-31,83.17999999999999,31.17096774193548,16.514193548387098,1987,7
1987-08-31,57.120000000000005,27.565483870967743,13.791935483870969,1987,8
1987-09-30,46.65,24.654999999999998,7.548333333333334,1987,9
1987-10-31,13.82,17.857741935483872,-1.353225806451613,1987,10
1988-04-30,68.55,17.698333333333334,-0.18999999999999992,1988,4
1988-05-31,98.38,23.910967741935483,8.999677419354839,1988,5
1988-06-30,101.02,31.813333333333333,15.102333333333332,1988,6
1988-07-31,81.0,30.155806451612904,15.947096774193549,1988,7
1988-08-31,37.78,30.443225806451615,14.5,1988,8
1988-09-30,123.35,24.884666666666664,8.624,1988,9
1988-10-31,0.0,16.84161290322581,-0.1470967741935484,1988,10
1989-04-30,2.86,19.955666666666666,0.5336666666666666,1989,4
1989-05-31,71.02,22.581612903225807,6.672580645161291,1989,5
1989-06-30,176.55,25.555333333333333,10.567666666666668,1989,6
1989-07-31,43.15,29.883225806451613,16.000967741935483,1989,7
1989-08-31,39.68,28.681935483870966,14.411290322580646,1989,8
1989-09-30,64.19,23.084999999999997,7.723666666666667,1989,9
1989-10-31,7.41,19.626451612903224,0.8974193548387097,1989,10
1990-04-30,34.449999999999996,16.987333333333332,0.0483333333333334,1990,4
1990-05-31,117.94,20.233870967741936,6.350322580645161,1990,5
1990-06-30,127.64,28.978,13.542666666666666,1990,6
1990-07-31,27.380000000000003,29.48483870967742,14.608387096774194,1990,7
1990-08-31,125.58,29.828387096774197,14.662580645161292,1990,8
1990-09-30,30.36,27.831000000000003,10.532333333333334,1990,9
1990-10-31,14.6,18.87516129032258,1.0264516129032257,1990,10
1991-04-30,118.09,16.38533333333333,2.5483333333333333,1991,4
1991-05-31,123.65,22.31709677419355,9.514516129032257,1991,5
1991-06-30,27.04,28.281000000000002,15.620666666666667,1991,6
1991-07-31,35.46,31.271612903225808,15.116774193548387,1991,7
1991-08-31,7.2,30.208064516129035,14.693225806451613,1991,8
1991-09-30,61.18,25.679333333333332,8.874666666666666,1991,9
1991-10-31,67.79,17.79806451612903,0.45032258064516134,1991,10
1992-04-30,11.44,16.713666666666665,0.717,1992,4
1992-05-31,49.35,22.71548387096774,6.128387096774193,1992,5
1992-06-30,66.03,24.283666666666665,11.469,1992,6
1992-07-31,147.46,25.82,13.023225806451613,1992,7
1992-08-31,143.95,25.51322580645161,12.095806451612903,1992,8
1992-09-30,46.370000000000005,24.595333333333333,7.926,1992,9
1992-10-31,59.71,18.089032258064517,1.2893548387096774,1992,10
1993-04-30,66.57,13.498666666666667,0.4113333333333333,1993,4
1993-05-31,113.5,20.818709677419356,6.78774193548387,1993,5
1993-06-30,195.46,24.551333333333332,11.424333333333333,1993,6
1993-07-31,205.27,26.885806451612904,15.619032258064516,1993,7
1993-08-31,81.44,26.948387096774194,14.598064516129034,1993,8
1993-09-30,42.99,21.294,6.143666666666666,1993,9
1993-10-31,46.53,16.684838709677418,0.678709677419355,1993,10
1994-04-30,78.76,16.361,-0.3406666666666666,1994,4
1994-05-31,18.759999999999998,24.19,8.320322580645161,1994,5
1994-06-30,112.55000000000001,28.459333333333333,14.104999999999999,1994,6
1994-07-31,165.97,27.71225806451613,13.863225806451613,1994,7
1994-08-31,17.53,28.692258064516132,13.713548387096774,1994,8
1994-09-30,26.419999999999998,25.892,9.350333333333333,1994,9
1994-10-31,38.84,18.205483870967743,3.3896774193548387,1994,10
1995-04-30,136.24,12.609333333333332,-1.148,1995,4
1995-05-31,182.12,16.56645161290323,5.193225806451613,1995,5
1995-06-30,78.0,25.343,12.071666666666665,1995,6
1995-07-31,56.05,30.806774193548385,14.380645161290323,1995,7
1995-08-31,51.6,31.05354838709677,16.655806451612904,1995,8
1995-09-30,127.3,23.354333333333333,7.630666666666667,1995,9
1995-10-31,35.13,16.929032258064513,0.7861290322580644,1995,10
1996-04-30,44.92,16.549,-1.1733333333333333,1996,4
1996-05-31,165.05,18.69483870967742,7.603548387096774,1996,5
1996-06-30,62.52,27.086000000000002,12.979000000000001,1996,6
1996-07-31,53.64,28.073548387096775,14.410322580645161,1996,7
1996-08-31,74.17,27.03806451612903,14.323870967741936,1996,8
1996-09-30,93.44,21.525666666666666,8.908666666666667,1996,9
1996-10-31,5.9,17.836451612903225,0.9729032258064515,1996,10
1997-04-30,79.7,12.361333333333334,-1.9306666666666668,1997,4
1997-05-31,63.95,20.06645161290323,4.393225806451613,1997,5
1997-06-30,70.49000000000001,27.831333333333337,12.907666666666668,1997,6
1997-07-31,62.92,30.238064516129032,15.793548387096775,1997,7
1997-08-31,40.489999999999995,28.155161290322578,14.290967741935484,1997,8
1997-09-30,101.1,24.651333333333334,10.069666666666667,1997,9
1997-10-31,109.03,17.58709677419355,2.859032258064516,1997,10
1998-04-30,41.15,15.066666666666666,0.6903333333333334,1998,4
1998-05-31,76.04,23.91516129032258,7.791612903225806,1998,5
1998-06-30,174.2,25.326666666666664,10.751333333333333,1998,6
1998-07-31,51.42,30.016451612903225,17.473548387096773,1998,7
1998-08-31,55.150000000000006,29.536774193548386,15.503870967741936,1998,8
1998-09-30,36.14,28.719,11.363333333333333,1998,9
1998-10-31,73.53999999999999,17.572903225806453,3.1599999999999997,1998,10
1999-04-30,103.64999999999999,14.235666666666667,1.6756666666666669,1999,4
1999-05-31,115.13,21.46,6.849032258064516,1999,5
1999-06-30,212.33,24.463666666666665,12.998,1999,6
1999-07-31,17.67,30.721290322580646,16.911612903225805,1999,7
1999-08-31,61.14,29.07225806451613,14.091935483870968,1999,8
1999-09-30,2.99,24.03933333333333,6.422,1999,9
1999-10-31,8.51,19.812903225806455,0.0683870967741936,1999,10
2000-04-30,64.49000000000001,17.290000000000003,-0.7946666666666666,2000,4
