time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1984-10-31,183.27,15.177096774193549,4.930322580645162,1984,10
1985-04-30,51.809999999999995,16.529333333333334,2.937,1985,4
1985-05-31,80.49,22.81935483870968,8.508064516129032,1985,5
1985-06-30,76.56,23.94066666666667,9.884666666666668,1985,6
1985-07-31,68.2,27.529354838709676,13.166774193548388,1985,7
1985-08-31,126.45,24.765806451612903,12.282580645161291,1985,8
1985-09-30,138.24,20.372666666666664,9.637,1985,9
1985-10-31,106.21000000000001,14.543870967741936,2.6658064516129034,1985,10
1986-04-30,65.23,16.012999999999998,2.883,1986,4
1986-05-31,59.9,21.74225806451613,8.002258064516129,1986,5
1986-06-30,90.77,25.165666666666667,11.429666666666666,1986,6
1986-07-31,172.27,27.60451612903226,15.748064516129032,1986,7
1986-08-31,102.45,24.253225806451614,11.290322580645162,1986,8
1986-09-30,272.64,20.082,9.653333333333334,1986,9
1986-10-31,77.69,14.531290322580647,3.0541935483870963,1986,10
1987-04-30,59.84,17.391000000000002,2.1763333333333335,1987,4
1987-05-31,70.01,22.50774193548387,8.059032258064516,1987,5
1987-06-30,116.16,27.403666666666666,13.083,1987,6
1987-07-31,133.46,28.44967741935484,16.061290322580643,1987,7
1987-08-31,70.14999999999999,25.35741935483871,13.438709677419356,1987,8
1987-09-30,107.86,22.321666666666665,8.796,1987,9
1987-10-31,56.06,11.306129032258065,-0.6209677419354839,1987,10
1988-04-30,77.85,14.481666666666666,-0.04033333333333335,1988,4
1988-05-31,40.66,24.445806451612906,6.949354838709677,1988,5
1988-06-30,23.5,28.872,12.071,1988,6
1988-07-31,110.99,30.379354838709677,15.565806451612904,1988,7
1988-08-31,115.25,28.83225806451613,15.588387096774193,1988,8
1988-09-30,98.25,22.180999999999997,9.175666666666666,1988,9
1988-10-31,46.79,11.10225806451613,-0.2577419354838709,1988,10
1989-04-30,23.06,12.144666666666668,-0.9866666666666666,1989,4
1989-05-31,185.8,19.860967741935486,5.260967741935484,1989,5
1989-06-30,45.95,24.179333333333332,10.670333333333334,1989,6
1989-07-31,65.75,28.183870967741935,14.546129032258065,1989,7
1989-08-31,93.74000000000001,26.281612903225806,13.116129032258065,1989,8
1989-09-30,24.91,21.477666666666668,6.593333333333333,1989,9
1989-10-31,125.04,15.830322580645161,2.265806451612903,1989,10
1990-04-30,65.87,15.001,1.3353333333333335,1990,4
1990-05-31,124.83,18.120967741935484,4.857096774193548,1990,5
1990-06-30,179.35999999999999,25.038,12.228333333333333,1990,6
1990-07-31,84.08,26.223870967741938,14.211612903225806,1990,7
1990-08-31,156.95,25.609354838709677,13.611612903225806,1990,8
1990-09-30,127.17,22.067333333333334,10.432333333333334,1990,9
1990-10-31,64.8,13.851612903225806,1.4748387096774194,1990,10
1991-04-30,138.65,15.108666666666666,2.0756666666666663,1991,4
1991-05-31,140.37,21.686129032258062,10.01290322580645,1991,5
1991-06-30,30.97,27.104,13.986,1991,6
1991-07-31,120.42,26.627741935483872,14.204516129032257,1991,7
1991-08-31,75.37,26.73,13.797419354838711,1991,8
1991-09-30,94.79,19.659,7.703333333333333,1991,9
1991-10-31,91.83000000000001,14.038709677419355,1.9909677419354839,1991,10
1992-04-30,75.13,10.311666666666667,0.058333333333333244,1992,4
